ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1988843,2015-11-28,14,8197,10260,32,68
1988844,2015-11-29,14,8650,10003,66,34
1988845,2015-11-28,14,8456,8466,57,43
1988846,2015-11-29,14,9850,9825,25,75
1988847,2015-11-28,14,8472,10194,50,50
1988848,2015-11-29,14,8586,8455,59,41
1988849,2015-11-29,14,8654,8659,60,40
1988850,2015-12-05,15,9825,8472,72,28
1988851,2015-12-05,15,8455,8678,66,34
1988852,2015-12-07,15,8668,9826,58,42
1988853,2015-12-05,15,10260,8654,56,44
1988854,2015-12-06,15,10261,8650,42,58
1988855,2015-12-05,15,8466,10252,53,47
1988856,2015-12-05,15,10194,8456,32,68
1988857,2015-12-05,15,10003,8197,65,35
1988858,2015-12-05,15,9817,9850,64,36
1988859,2015-12-05,15,8659,8586,33,67
1988860,2015-12-13,16,10252,9825,52,48
1988861,2015-12-12,16,8678,10260,40,60
1988862,2015-12-12,16,9826,8466,43,57
1988863,2015-12-14,16,8197,8455,48,52
1988864,2015-12-13,16,8650,8659,63,37
1988865,2015-12-12,16,8456,10003,58,42
1988866,2015-12-12,16,9850,8668,47,53
1988867,2015-12-12,16,8472,9817,40,60
1988868,2015-12-13,16,8586,10261,65,35
1988869,2015-12-12,16,8654,10194,46,54
1988870,2015-12-21,17,9825,8456,42,58
1988871,2015-12-19,17,8455,8472,67,33
1988872,2015-12-19,17,8668,8197,67,33
1988873,2015-12-19,17,10260,9850,73,27
1988874,2015-12-19,17,10261,10252,52,48
1988875,2015-12-19,17,8466,8586,49,51
1988876,2015-12-19,17,10194,9826,59,41
1988877,2015-12-20,17,10003,8654,77,23
1988878,2015-12-20,17,9817,8650,34,66
1988879,2015-12-19,17,8659,8678,35,65
1988880,2015-12-26,18,10252,8654,58,42
1988881,2015-12-26,18,8678,9826,57,43
1988882,2015-12-26,18,8455,9817,65,35
1988883,2015-12-26,18,8650,8197,67,33
1988884,2015-12-26,18,8456,8472,72,28
1988885,2015-12-26,18,10261,8668,23,77
1988886,2015-12-26,18,8466,9825,47,53
1988887,2015-12-26,18,10194,10260,60,40
1988888,2015-12-26,18,10003,8659,64,36
1988889,2015-12-26,18,8586,9850,60,40
1988890,2015-12-28,19,9825,8678,59,41
1988891,2015-12-28,19,9826,10003,56,44
1988892,2015-12-28,19,8668,10194,51,49
1988893,2015-12-29,19,8197,8456,41,59
1988894,2015-12-28,19,10260,8455,75,25
1988895,2015-12-28,19,9850,10252,49,51
